segment,n_customers,avg_monetary_vnd,avg_order_value_vnd,uplift_scenario_pct,n_customers_retained_est,revenue_potential_vnd
Can't Lose Them,2251,218600.54088405153,25393.220019093817,5.0,112.55000000000001,2858006.9131490095
Can't Lose Them,2251,218600.54088405153,25393.220019093817,10.0,225.10000000000002,5716013.826298019
Can't Lose Them,2251,218600.54088405153,25393.220019093817,15.0,337.65,8574020.739447027
At Risk,7989,80881.70077982225,20756.28497414153,5.0,399.45000000000005,8291098.032920836
At Risk,7989,80881.70077982225,20756.28497414153,10.0,798.9000000000001,16582196.065841671
At Risk,7989,80881.70077982225,20756.28497414153,15.0,1198.35,24873294.0987625
